state,county,party_x,DEM_votes,party_y,REP_votes
Iowa,Warren,REP,17738,DEM,12537
Iowa,Washington,REP,6966,DEM,4558
Iowa,Wayne,REP,2338,DEM,727
Iowa,Webster,REP,10927,DEM,6604
Iowa,Winnebago,REP,3707,DEM,2135
Iowa,Winneshiek,REP,6235,DEM,5617
Iowa,Woodbury,REP,25736,DEM,18704
Iowa,Worth,REP,2738,DEM,1596
Iowa,Wright,REP,4136,DEM,1996
Kansas,Allen,REP,4155,DEM,1559
Kansas,Anderson,REP,2874,DEM,765
Kansas,Atchison,REP,4826,DEM,2314
Kansas,Barber,REP,1992,DEM,284
Kansas,Barton,REP,8480,DEM,2302
Kansas,Bourbon,REP,4910,DEM,1505
Kansas,Brown,REP,3206,DEM,1088
Kansas,Butler,REP,22250,DEM,9003
Kansas,Chase,REP,1114,DEM,341
Kansas,Chautauqua,REP,1397,DEM,212
Kansas,Cherokee,REP,6622,DEM,2163
Kansas,Cheyenne,REP,1158,DEM,220
Kansas,Clark,REP,885,DEM,143
Kansas,Clay,REP,3129,DEM,883
Kansas,Cloud,REP,3182,DEM,893
Kansas,Coffey,REP,3407,DEM,928
Kansas,Comanche,REP,745,DEM,126
Kansas,Cowley,REP,9442,DEM,4171
Kansas,Crawford,REP,9752,DEM,5971
Kansas,Decatur,REP,1232,DEM,208
Kansas,Dickinson,REP,7045,DEM,2040
Kansas,Doniphan,REP,2949,DEM,678
Kansas,Douglas,REP,16737,DEM,39436
Kansas,Edwards,REP,1127,DEM,267
Kansas,Elk,REP,1130,DEM,191
Kansas,Ellis,REP,9569,DEM,3633
Kansas,Ellsworth,REP,2106,DEM,646
Kansas,Finney,REP,7079,DEM,4155
